code,name,description,refreshed_at
ELECTCAST,Electrosteel Castings Limited,Historical prices for Electrosteel Castings Limited<br><br>National Stock Exchange of India<br><br>Ticker: ELECTCAST<br><br>ISIN: INE086A01029,16/03/2020
ELECTHERM,Electrotherm (India) Limited,Historical prices for Electrotherm (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ELECTHERM<br><br>ISIN: INE822G01016,17/03/2020
ELECTROSL,ELECTROSTEEL STEELS LIMITED,Historical prices for ELECTROSTEEL STEELS LIMITED<br><br>National Stock Exchange of India<br><br>Ticker: ELECTROSL<br><br>ISIN: INE481K01021,18/03/2020
ELFORGE,EL Forge Limited,"Historical prices for EL Forge Limited (ELFORGE), (ISIN: INE158F01017),  National Stock Exchange of India.",19/03/2020
ELGIEQUIP,Elgi Equipments Limited,Historical prices for Elgi Equipments Limited<br><br>National Stock Exchange of India<br><br>Ticker: ELGIEQUIP<br><br>ISIN: INE285A01027,20/03/2020
ELGIRUBCO,Elgi Rubber Company Limited,Historical prices for Elgi Rubber Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: ELGIRUBCO<br><br>ISIN: INE819L01012,21/03/2020
ELNET,Elnet Technologies Limited,"Historical prices for Elnet Technologies Limited (ELNET), (ISIN: INE033C01019),  National Stock Exchange of India.",22/03/2020
EMAMIINFRA,Emami Infrastructure Limited,Historical prices for Emami Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: EMAMIINFRA<br><br>ISIN: INE778K01012,23/03/2020
EMAMILTD,Emami Limited,Historical prices for Emami Limited<br><br>National Stock Exchange of India<br><br>Ticker: EMAMILTD<br><br>ISIN: INE548C01032,24/03/2020
EMCO,Emco Limited,Historical prices for Emco Limited<br><br>National Stock Exchange of India<br><br>Ticker: EMCO<br><br>ISIN: INE078A01026,25/03/2020
EMKAY,Emkay Global Financial Services Limited,Historical prices for Emkay Global Financial Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: EMKAY<br><br>ISIN: INE296H01011,26/03/2020
EMMBI,Emmbi Industries Limited,Historical prices for Emmbi Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: EMMBI<br><br>ISIN: INE753K01015,27/03/2020
EMPEESUG,Empee Sugars and Chemicals Limited,"Historical prices for Empee Sugars and Chemicals Limited (EMPEESUG), (ISIN: INE928B01012),  National Stock Exchange of India.",28/03/2020
ENDURANCE,Endurance Technologies Limited,Historical prices for Endurance Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ENDURANCE<br><br>ISIN: INE913H01037,29/03/2020
ENERGYDEV,Energy Development Company Limited,Historical prices for Energy Development Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: ENERGYDEV<br><br>ISIN: INE306C01019,30/03/2020
ENGINERSIN,Engineers India Limited,Historical prices for Engineers India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ENGINERSIN<br><br>ISIN: INE510A01028,31/03/2020
ENIL,Entertainment Network (India) Limited,Historical prices for Entertainment Network (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ENIL<br><br>ISIN: INE265F01028,1/04/2020
ENTEGRA,Entegra Limited,Historical prices for Entegra Limited<br><br>National Stock Exchange of India<br><br>Ticker: ENTEGRA<br><br>ISIN: INE826A01028,2/04/2020
EON,Eon Electric Limited,Historical prices for Eon Electric Limited<br><br>National Stock Exchange of India<br><br>Ticker: EON<br><br>ISIN: INE076H01025,3/04/2020
EONELECT,Eon Electric Limited,"Historical prices for Eon Electric Limited (EONELECT), (ISIN: INE076H01017),  National Stock Eschange of India.",4/04/2020
EQ30,Edel ETF Nifty 100 Qual30,Historical prices for Edel ETF Nifty 100 Qual30<br><br>National Stock Exchange of India<br><br>Ticker: EQ30<br><br>ISIN: INF754K01EM9,5/04/2020
EQUITAS,Equitas Holdings Limited,Historical prices for Equitas Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: EQUITAS<br><br>ISIN: INE988K01017,6/04/2020
ERAINFRA,Era Infra Engineering Limited,Historical prices for Era Infra Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: ERAINFRA<br><br>ISIN: INE039E01020,7/04/2020
ERIS,Eris Lifesciences Limited,Historical prices for Eris Lifesciences Limited<br><br>National Stock Exchange of India<br><br>Ticker: ERIS<br><br>ISIN: INE406M01024,8/04/2020
EROSMEDIA,Eros International Media Limited,Historical prices for Eros International Media Limited<br><br>National Stock Exchange of India<br><br>Ticker: EROSMEDIA<br><br>ISIN: INE416L01017,9/04/2020
ESABINDIA,Esab India Limited,Historical prices for Esab India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESABINDIA<br><br>ISIN: INE284A01012,10/04/2020
ESCORTS,Escorts Limited,Historical prices for Escorts Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESCORTS<br><br>ISIN: INE042A01014,11/04/2020
ESL,Electrosteel Steels Limited,Historical prices for Electrosteel Steels Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESL<br><br>ISIN: INE481K01013,12/04/2020
ESSAROIL,Essar Oil Limited,Historical prices for Essar Oil Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESSAROIL<br><br>ISIN: INE011A01019,13/04/2020
ESSARPORTS,Essar Ports Limited,Historical prices for Essar Ports Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESSARPORTS<br><br>ISIN: INE282A01024,14/04/2020
ESSARSHPNG,Essar Shipping Limited,Historical prices for Essar Shipping Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESSARSHPNG<br><br>ISIN: INE122M01019,15/04/2020
ESSDEE,Ess Dee Aluminium Limited,Historical prices for Ess Dee Aluminium Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESSDEE<br><br>ISIN: INE825H01017,16/04/2020
ESSELPACK,Essel Propack Limited,Historical prices for Essel Propack Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESSELPACK<br><br>ISIN: INE255A01020,17/04/2020
ESTER,Ester Industries Limited,Historical prices for Ester Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ESTER<br><br>ISIN: INE778B01029,18/04/2020
EUROCERA,Euro Ceramics Limited,Historical prices for Euro Ceramics Limited<br><br>National Stock Exchange of India<br><br>Ticker: EUROCERA<br><br>ISIN: INE649H01011,19/04/2020
EUROMULTI,Euro Multivision Limited,Historical prices for Euro Multivision Limited<br><br>National Stock Exchange of India<br><br>Ticker: EUROMULTI<br><br>ISIN: INE063J01011,20/04/2020
EUROTEXIND,Eurotex Industries and Exports Limited,Historical prices for Eurotex Industries and Exports Limited<br><br>National Stock Exchange of India<br><br>Ticker: EUROTEXIND<br><br>ISIN: INE022C01012,21/04/2020
EVEREADY,Eveready Industries India Limited,Historical prices for Eveready Industries India Limited<br><br>National Stock Exchange of India<br><br>Ticker: EVEREADY<br><br>ISIN: INE128A01029,22/04/2020
EVERESTIND,Everest Industries Limited,Historical prices for Everest Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: EVERESTIND<br><br>ISIN: INE295A01018,23/04/2020
EVERONN,Everonn Education Limited,Historical prices for Everonn Education Limited<br><br>National Stock Exchange of India<br><br>Ticker: EVERONN<br><br>ISIN: INE678H01010,24/04/2020
EXCEL,Excel Realty N Infra Limited,Historical prices for Excel Realty N Infra Limited<br><br>National Stock Exchange of India<br><br>Ticker: EXCEL<br><br>ISIN: INE688J01015,25/04/2020
EXCELCROP,Excel Crop Care Limited,Historical prices for Excel Crop Care Limited<br><br>National Stock Exchange of India<br><br>Ticker: EXCELCROP<br><br>ISIN: INE223G01017,26/04/2020
EXCELINDUS,Excel Industries Limited,Historical prices for Excel Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: EXCELINDUS<br><br>ISIN: INE369A01029,27/04/2020
EXCELINFO,Excel Infoways Limited,"Historical prices for Excel Infoways Limited (EXCELINFO), (ISIN: INE688J01015),  National Stock Exchange of India.",28/04/2020
EXIDEIND,Exide Industries Limited,Historical prices for Exide Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: EXIDEIND<br><br>ISIN: INE302A01020,29/04/2020
FACT,Fertilizers and Chemicals Travancore Limited,Historical prices for Fertilizers and Chemicals Travancore Limited<br><br>National Stock Exchange of India<br><br>Ticker: FACT<br><br>ISIN: INE188A01015,30/04/2020
FAGBEARING,FAG Bearings India Limited,Historical prices for FAG Bearings India Limited<br><br>National Stock Exchange of India<br><br>Ticker: FAGBEARING<br><br>ISIN: INE513A01014,1/05/2020
FAIRCHEM,Fairchem Speciality Limited,Historical prices for Fairchem Speciality Limited<br><br>National Stock Exchange of India<br><br>Ticker: FAIRCHEM<br><br>ISIN: INE959A01019,2/05/2020
FAME,Fame India Limited,"Historical prices for Fame India Limited (FAME), (ISIN: INE886G01011),  National Stock Exchange of India.",3/05/2020
FARMAXIND,Farmax India Limited,Historical prices for Farmax India Limited<br><br>National Stock Exchange of India<br><br>Ticker: FARMAXIND<br><br>ISIN: INE890I01035,4/05/2020
FCEL,Future Consumer Enterprise Limited,Historical prices for Future Consumer Enterprise Limited<br><br>National Stock Exchange of India<br><br>Ticker: FCEL<br><br>ISIN: INE220J01025,5/05/2020
FCH,Future Capital Holdings Limited,"Historical prices for Future Capital Holdings Limited (FCH), (ISIN: INE688I01017),  National Stock Exchange of India.",6/05/2020
FCL,Fineotex Chemical Limited,Historical prices for Fineotex Chemical Limited<br><br>National Stock Exchange of India<br><br>Ticker: FCL<br><br>ISIN: INE045J01026,7/05/2020
FCONSUMER,Future Consumer Limited,Historical prices for Future Consumer Limited<br><br>National Stock Exchange of India<br><br>Ticker: FCONSUMER<br><br>ISIN: INE220J01025,8/05/2020
FCSSOFT,FCS Software Solutions Limited,Historical prices for FCS Software Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: FCSSOFT<br><br>ISIN: INE512B01022,9/05/2020
FDC,FDC Limited,Historical prices for FDC Limited<br><br>National Stock Exchange of India<br><br>Ticker: FDC<br><br>ISIN: INE258B01022,10/05/2020
FEDDERELEC,Fedders Electric and Engineering Limited,Historical prices for Fedders Electric and Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: FEDDERELEC<br><br>ISIN: INE249C01011,11/05/2020
FEDDERLOYD,Fedders Lloyd Corporation Limited,Historical prices for Fedders Lloyd Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: FEDDERLOYD<br><br>ISIN: INE249C01011,12/05/2020
FEDERALBNK,The Federal Bank Limited,Historical prices for The Federal Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: FEDERALBNK<br><br>ISIN: INE171A01029,13/05/2020
FEL,Future Enterprises Limited,Historical prices for Future Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: FEL<br><br>ISIN: INE623B01027,14/05/2020
FELDVR,Future Enterprises Limited,Historical prices for Future Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: FELDVR<br><br>ISIN: IN9623B01058,15/05/2020
FIEMIND,Fiem Industries Limited,Historical prices for Fiem Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: FIEMIND<br><br>ISIN: INE737H01014,16/05/2020
FILATEX,Filatex India Limited,Historical prices for Filatex India Limited<br><br>National Stock Exchange of India<br><br>Ticker: FILATEX<br><br>ISIN: INE816B01027,17/05/2020
FINCABLES,Finolex Cables Limited,Historical prices for Finolex Cables Limited<br><br>National Stock Exchange of India<br><br>Ticker: FINCABLES<br><br>ISIN: INE235A01022,18/05/2020
FINEORG,Fine Organic Industries Limited,Historical prices for Fine Organic Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: FINEORG<br><br>ISIN: INE686Y01026,19/05/2020
FINPIPE,Finolex Industries Limited,Historical prices for Finolex Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: FINPIPE<br><br>ISIN: INE183A01016,20/05/2020
FIRSTLEASE,First Leasing Company of India Limited,"Historical prices for First Leasing Company of India Limited (FIRSTLEASE), (ISIN: INE492B01019),  National Stock Exchange of India.",21/05/2020
FIRSTWIN,First Winner Industries Limited,Historical prices for First Winner Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: FIRSTWIN<br><br>ISIN: INE315J01015,22/05/2020
FKONCO,Fresenius Kabi Oncology Limited,"Historical prices for Fresenius Kabi Oncology Limited (FKONCO), (ISIN: INE575G01010),  National Stock Exchange of India.",23/05/2020
FLEXITUFF,Flexituff International Limited,Historical prices for Flexituff International Limited<br><br>National Stock Exchange of India<br><br>Ticker: FLEXITUFF<br><br>ISIN: INE060J01017,24/05/2020
FLFL,Future Lifestyle Fashions Limited,Historical prices for Future Lifestyle Fashions Limited<br><br>National Stock Exchange of India<br><br>Ticker: FLFL<br><br>ISIN: INE452O01016,25/05/2020
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Historical prices for Federal-Mogul Goetze (India) Limited.<br><br>National Stock Exchange of India<br><br>Ticker: FMGOETZE<br><br>ISIN: INE529A01010,26/05/2020
FMNL,Future Market Networks Limited,Historical prices for Future Market Networks Limited<br><br>National Stock Exchange of India<br><br>Ticker: FMNL<br><br>ISIN: INE360L01017,27/05/2020
FORTIS,Fortis Healthcare Limited,Historical prices for Fortis Healthcare Limited<br><br>National Stock Exchange of India<br><br>Ticker: FORTIS<br><br>ISIN: INE061F01013,28/05/2020
FORTUNEFIN,Fortune Financial Services (India) Limited,Historical prices for Fortune Financial Services (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: FORTUNEFIN<br><br>ISIN: INE924D01017,29/05/2020
FOSECOIND,Foseco India Limited,Historical prices for Foseco India Limited<br><br>National Stock Exchange of India<br><br>Ticker: FOSECOIND<br><br>ISIN: INE519A01011,30/05/2020
FOURSOFT,Four Soft Limited,"Historical prices for Four Soft Limited (FOURSOFT), (ISIN: INE218G01017),  National Stock Exchange of India.",31/05/2020
FRETAIL,Future Retail Limited,Historical prices for Future Retail Limited<br><br>National Stock Exchange of India<br><br>Ticker: FRETAIL<br><br>ISIN: INE752P01024,1/06/2020
FRL,FUTURE ENTERPRISES LIMITED,Historical prices for FUTURE ENTERPRISES LIMITED<br><br>National Stock Exchange of India<br><br>Ticker: FRL<br><br>ISIN: INE623B01027,2/06/2020
FRLDVR,Future Enterprises Limited,Historical prices for Future Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: FRLDVR<br><br>ISIN: IN9623B01058,3/06/2020
FSC,Future Supply Chain Solutions Limited,Historical prices for Future Supply Chain Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: FSC<br><br>ISIN: INE935Q01015,4/06/2020
FSL,Firstsource Solutions Limited,Historical prices for Firstsource Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: FSL<br><br>ISIN: INE684F01012,5/06/2020
FTCPOF5YDV,Franklin Templeton Capital Protection Oriented Fund,"Historical prices for Franklin Templeton Capital Protection Oriented Fund (FTCPOF5YDV), (ISIN: INF090I01080),  National Stock Eschange of India.",6/06/2020
FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund,"Historical prices for Franklin Templeton Capital Protection Oriented Fund (FTCPOF5YGR), (ISIN: INF090I01072),  National Stock Eschange of India.",7/06/2020
FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option,"Historical prices for Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option (FTCSF5YDIV), (ISIN: INF090I01049),  National Stock Eschange of India.",8/06/2020
FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option),"Historical prices for Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option) (FTCSF5YGRO), (ISIN: INF090I01031),  National Stock Eschange of India.",9/06/2020
FUTUREVENT,Future Ventures India Limited,"Historical prices for Future Ventures India Limited (FUTUREVENT), (ISIN: INE220J01017),  National Stock Exchange of India.",10/06/2020
GABRIEL,Gabriel India Limited,Historical prices for Gabriel India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GABRIEL<br><br>ISIN: INE524A01029,11/06/2020
GAEL,Gujarat Ambuja Exports Limited,Historical prices for Gujarat Ambuja Exports Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAEL<br><br>ISIN: INE036B01022,12/06/2020
GAIL,GAIL (India) Limited,Historical prices for GAIL (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAIL<br><br>ISIN: INE129A01019,13/06/2020
GAL,Gyscoal Alloys Limited,Historical prices for Gyscoal Alloys Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAL<br><br>ISIN: INE482J01021,14/06/2020
GALAXYSURF,Galaxy Surfactants Limited,Historical prices for Galaxy Surfactants Limited<br><br>National Stock Exchange of India<br><br>Ticker: GALAXYSURF<br><br>ISIN: INE600K01018,15/06/2020
GALLANTT,Gallantt Metal Limited,Historical prices for Gallantt Metal Limited<br><br>National Stock Exchange of India<br><br>Ticker: GALLANTT<br><br>ISIN: INE297H01019,16/06/2020
GALLISPAT,Gallantt Ispat Limited,Historical prices for Gallantt Ispat Limited<br><br>National Stock Exchange of India<br><br>Ticker: GALLISPAT<br><br>ISIN: INE528K01029,17/06/2020
GAMMNINFRA,Gammon Infrastructure Projects Limited,Historical prices for Gammon Infrastructure Projects Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAMMNINFRA<br><br>ISIN: INE181G01025,18/06/2020
GAMMONIND,Gammon India Limited,Historical prices for Gammon India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAMMONIND<br><br>ISIN: INE259B01020,19/06/2020
GANDHITUBE,Gandhi Special Tubes Limited,Historical prices for Gandhi Special Tubes Limited<br><br>National Stock Exchange of India<br><br>Ticker: GANDHITUBE<br><br>ISIN: INE524B01027,20/06/2020
GANECOS,Ganesha Ecosphere Limited,Historical prices for Ganesha Ecosphere Limited<br><br>National Stock Exchange of India<br><br>Ticker: GANECOS<br><br>ISIN: INE845D01014,21/06/2020
GANESHHOUC,Ganesh Housing Corporation Limited,Historical prices for Ganesh Housing Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: GANESHHOUC<br><br>ISIN: INE460C01014,22/06/2020
GANGESSECU,Ganges Securities Limited,Historical prices for Ganges Securities Limited<br><br>National Stock Exchange of India<br><br>Ticker: GANGESSECU<br><br>ISIN: INE335W01016,23/06/2020
GANGOTRI,Gangotri Textiles Limited,Historical prices for Gangotri Textiles Limited<br><br>National Stock Exchange of India<br><br>Ticker: GANGOTRI<br><br>ISIN: INE670B01028,24/06/2020
GARDENSILK,Garden Silk Mills Limited,Historical prices for Garden Silk Mills Limited<br><br>National Stock Exchange of India<br><br>Ticker: GARDENSILK<br><br>ISIN: INE526A01016,25/06/2020
GARFIBRES,Garware Technical Fibres Limited,Historical prices for Garware Technical Fibres Limited<br><br>National Stock Exchange of India<br><br>Ticker: GARFIBRES<br><br>ISIN: INE276A01018,26/06/2020
GARWALLROP,Garware Wall Ropes Limited,Historical prices for Garware Wall Ropes Limited<br><br>National Stock Exchange of India<br><br>Ticker: GARWALLROP<br><br>ISIN: INE276A01018,27/06/2020
GATI,GATI Limited,Historical prices for GATI Limited<br><br>National Stock Exchange of India<br><br>Ticker: GATI<br><br>ISIN: INE152B01027,28/06/2020
GAYAHWS,Gayatri Highways Limited,Historical prices for Gayatri Highways Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAYAHWS<br><br>ISIN: INE287Z01012,29/06/2020
GAYAPROJ,Gayatri Projects Limited,Historical prices for Gayatri Projects Limited<br><br>National Stock Exchange of India<br><br>Ticker: GAYAPROJ<br><br>ISIN: INE336H01023,30/06/2020
GDL,Gateway Distriparks Limited,Historical prices for Gateway Distriparks Limited<br><br>National Stock Exchange of India<br><br>Ticker: GDL<br><br>ISIN: INE852F01015,1/07/2020
GEECEE,GeeCee Ventures Limited,Historical prices for GeeCee Ventures Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEECEE<br><br>ISIN: INE916G01016,2/07/2020
GEINDSYS,GEI Industrial Systems Limited,Historical prices for GEI Industrial Systems Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEINDSYS<br><br>ISIN: INE599B01011,3/07/2020
GEMINI,Gemini Communication Limited,Historical prices for Gemini Communication Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEMINI<br><br>ISIN: INE878C01033,4/07/2020
GENESYS,Genesys International Corporation Limited,Historical prices for Genesys International Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: GENESYS<br><br>ISIN: INE727B01026,5/07/2020
GENUSPAPER,Genus Paper & Boards Limited,Historical prices for Genus Paper & Boards Limited<br><br>National Stock Exchange of India<br><br>Ticker: GENUSPAPER<br><br>ISIN: INE949P01018,6/07/2020
GENUSPOWER,Genus Power Infrastructures Limited,Historical prices for Genus Power Infrastructures Limited<br><br>National Stock Exchange of India<br><br>Ticker: GENUSPOWER<br><br>ISIN: INE955D01029,7/07/2020
GEODESIC,Geodesic Limited,"Historical prices for Geodesic Limited (GEODESIC), (ISIN: INE371D01029),  National Stock Exchange of India.",8/07/2020
GEOJITBNPP,Geojit BNP Paribas Financial Services Limited,Historical prices for Geojit BNP Paribas Financial Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEOJITBNPP<br><br>ISIN: INE007B01023,9/07/2020
GEOJITFSL,Geojit Financial Services Limited,Historical prices for Geojit Financial Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEOJITFSL<br><br>ISIN: INE007B01023,10/07/2020
GEOMETRIC,Geometric Limited,Historical prices for Geometric Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEOMETRIC<br><br>ISIN: INE797A01021,11/07/2020
GEPIL,GE Power India Limited,Historical prices for GE Power India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GEPIL<br><br>ISIN: INE878A01011,12/07/2020
GESHIP,The Great Eastern Shipping Company Limited,Historical prices for The Great Eastern Shipping Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: GESHIP<br><br>ISIN: INE017A01032,13/07/2020
GETD,GE T&D India Limited,Historical prices for GE T&D India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GETD<br><br>ISIN: INE200A01026,14/07/2020
GHCL,GHCL Limited,Historical prices for GHCL Limited<br><br>National Stock Exchange of India<br><br>Ticker: GHCL<br><br>ISIN: INE539A01019,15/07/2020
GICHSGFIN,GIC Housing Finance Limited,Historical prices for GIC Housing Finance Limited<br><br>National Stock Exchange of India<br><br>Ticker: GICHSGFIN<br><br>ISIN: INE289B01019,16/07/2020
GICRE,General Insurance Corporation of India,Historical prices for General Insurance Corporation of India<br><br>National Stock Exchange of India<br><br>Ticker: GICRE<br><br>ISIN: INE481Y01014,17/07/2020
GILLANDERS,Gillanders Arbuthnot & Company Limited,Historical prices for Gillanders Arbuthnot & Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: GILLANDERS<br><br>ISIN: INE047B01011,18/07/2020
GILLETTE,Gillette India Limited,Historical prices for Gillette India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GILLETTE<br><br>ISIN: INE322A01010,19/07/2020
GINNIFILA,Ginni Filaments Limited,Historical prices for Ginni Filaments Limited<br><br>National Stock Exchange of India<br><br>Ticker: GINNIFILA<br><br>ISIN: INE424C01010,20/07/2020
GIPCL,Gujarat Industries Power Company Limited,Historical prices for Gujarat Industries Power Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: GIPCL<br><br>ISIN: INE162A01010,21/07/2020
GISOLUTION,GI Engineering Solutions Limited,Historical prices for GI Engineering Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: GISOLUTION<br><br>ISIN: INE065J01016,22/07/2020
GITANJALI,Gitanjali Gems Limited,Historical prices for Gitanjali Gems Limited<br><br>National Stock Exchange of India<br><br>Ticker: GITANJALI<br><br>ISIN: INE346H01014,23/07/2020
GKB,GKB Ophthalmics Limited,"Historical prices for GKB Ophthalmics Limited (GKB), (ISIN: INE265D01015),  National Stock Exchange of India.",24/07/2020
GKWLIMITED,GKW Limited,Historical prices for GKW Limited<br><br>National Stock Exchange of India<br><br>Ticker: GKWLIMITED<br><br>ISIN: INE528A01020,25/07/2020
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Historical prices for GlaxoSmithKline Pharmaceuticals Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLAXO<br><br>ISIN: INE159A01016,26/07/2020
GLENMARK,Glenmark Pharmaceuticals Limited,Historical prices for Glenmark Pharmaceuticals Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLENMARK<br><br>ISIN: INE935A01035,27/07/2020
GLFL,Gujarat Lease Financing Limited,Historical prices for Gujarat Lease Financing Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLFL<br><br>ISIN: INE540A01017,28/07/2020
GLOBALVECT,Global Vectra Helicorp Limited,Historical prices for Global Vectra Helicorp Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLOBALVECT<br><br>ISIN: INE792H01019,29/07/2020
GLOBOFFS,Global Offshore Services Limited,Historical prices for Global Offshore Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLOBOFFS<br><br>ISIN: INE446C01013,30/07/2020
GLOBUSSPR,Globus Spirits Limited,Historical prices for Globus Spirits Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLOBUSSPR<br><br>ISIN: INE615I01010,31/07/2020
GLODYNE,Glodyne Technoserve Limited,Historical prices for Glodyne Technoserve Limited<br><br>National Stock Exchange of India<br><br>Ticker: GLODYNE<br><br>ISIN: INE932G01021,1/08/2020
GLORY,Glory Polyfilms Limited,"Historical prices for Glory Polyfilms Limited (GLORY), (ISIN: INE408H01012),  National Stock Exchange of India.",2/08/2020
GMBREW,GM Breweries Limited,Historical prices for GM Breweries Limited<br><br>National Stock Exchange of India<br><br>Ticker: GMBREW<br><br>ISIN: INE075D01018,3/08/2020
GMDCLTD,Gujarat Mineral Development Corporation Limited,Historical prices for Gujarat Mineral Development Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: GMDCLTD<br><br>ISIN: INE131A01031,4/08/2020
GMMPFAUDLR,GMM Pfaudler Limited,Historical prices for GMM Pfaudler Limited<br><br>National Stock Exchange of India<br><br>Ticker: GMMPFAUDLR<br><br>ISIN: INE541A01023,5/08/2020
GMRINFRA,GMR Infrastructure Limited,Historical prices for GMR Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: GMRINFRA<br><br>ISIN: INE776C01039,6/08/2020
GNA,GNA Axles Limited,Historical prices for GNA Axles Limited<br><br>National Stock Exchange of India<br><br>Ticker: GNA<br><br>ISIN: INE934S01014,7/08/2020
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Historical prices for Gujarat Narmada Valley Fertilizers and Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: GNFC<br><br>ISIN: INE113A01013,8/08/2020
GOACARBON,Goa Carbon Limited,Historical prices for Goa Carbon Limited<br><br>National Stock Exchange of India<br><br>Ticker: GOACARBON<br><br>ISIN: INE426D01013,9/08/2020
GOCLCORP,GOCL Corporation Limited,Historical prices for GOCL Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: GOCLCORP<br><br>ISIN: INE077F01035,10/08/2020
GODFRYPHLP,Godfrey Phillips India Limited,Historical prices for Godfrey Phillips India Limited<br><br>National Stock Exchange of India<br><br>Ticker: GODFRYPHLP<br><br>ISIN: INE260B01028,11/08/2020
GODREJAGRO,Godrej Agrovet Limited,Historical prices for Godrej Agrovet Limited<br><br>National Stock Exchange of India<br><br>Ticker: GODREJAGRO<br><br>ISIN: INE850D01014,12/08/2020
GODREJCP,Godrej Consumer Products Limited,Historical prices for Godrej Consumer Products Limited<br><br>National Stock Exchange of India<br><br>Ticker: GODREJCP<br><br>ISIN: INE102D01028,13/08/2020
